Name,ra,dec,DM,z,ee_a,ee_b,ee_theta,fluence,fluence_err,RM,RM_err,repeater,telescope,refs,P(O|x)
FRB20121102A,82.99458875,33.14793156,558.1,0.19273,0.004,0.002,90.0,"","",102700.0,100.0,TRUE,VLA,"Tendulkar2017,Marcote2017",
FRB20171020A,333.8272917,-19.66978611,114.1,0.00867,600.0,600.0,0.0,"","","","",FALSE,ASKAP,"Shannon2018,Mahony2018",
FRB20180301A,93.22683333,4.671055556,536.0,0.33044,0.01142,0.00825,0.0,4.9,0.5,"","",TRUE,ASKAP,Bhandari2021,""
FRB20180916B,29.50312571,65.71675422,348.76,0.0337,0.0011,0.0011,0.0,2.53,"",-114.6,0.6,TRUE,CHIME,Marcote2020,""
FRB20180924A,326.1052292,-40.90002778,362.16,0.3212,0.07,0.07,0.0,16.0,1.0,22.0,2.0,FALSE,ASKAP,"Bannister2019,Bhandari2020",
FRB20181030A,158.5963,73.765,103.5,0.0039,85.0,29.0,0.0,"","","","",TRUE,CHIME,Bhardwaj2021b,""
FRB20181112A,327.3484583,-52.97094444,589.27,0.4755,0.5553,0.15293,120.15,20.2,0.1,10.5,0.4,FALSE,ASKAP,"Prochaska2019,Day2021",
FRB20190102C,322.4156667,-79.47569444,364.545,0.2912,0.21,0.17,0.0,14.0,1.0,-105.0,1.0,FALSE,ASKAP,"Bhandari2020,Day2020",
FRB20190520B,240.517775,-11.288147,1210.3,0.241,0.1,0.09,90.0,"","","","",TRUE,VLA,Niu2021,""
FRB20190523A,207.065,72.46972222,760.8,0.66,4.0,1.5,340.0,280.0,"","","",FALSE,DSA,Ravi2019,""
FRB20190608B,334.019875,-7.89825,340.05,0.1177805,0.19,0.18,90.0,26.0,4.0,353.0,2.0,FALSE,ASKAP,"Bhandari2020,Day2020",
FRB20190611B,320.7455833,-79.39758333,332.63,0.3778,0.34,0.32,0.0,10.0,2.0,20.0,4.0,FALSE,ASKAP,"MacQuart2020,Day2020",
FRB20190614D,65.07552,73.70674,959.0,"",0.8,0.4,67.0,0.62,0.07,"","",FALSE,VLA,Law2020,""
FRB20190711A,329.417236328,-80.358032227,587.9,0.52172,2.409,1.281,-67.96,34.0,3.0,9.0,2.0,TRUE,ASKAP,"MacQuart2020,Day2020",
FRB20190714A,183.9797083,-13.021,504.13,0.2365,0.17,0.1,90.0,12.0,2.0,"","",FALSE,ASKAP,"Heintz2020,Day2021",
FRB20191001A,323.35168457,-54.748306274,507.0,0.234,0.46,0.43,81.9,143.0,15.0,55.5,0.9,FALSE,ASKAP,"Bhandari2020b,Day2021",
FRB20191228A,344.430541992,-29.594116211,298.0,0.243,0.84,0.76,-29.34,40.0,"","","",FALSE,ASKAP,"Bhandari2021,Day2021",
FRB20200120E,149.4778333,68.81888889,87.818,0.0008,0.4,0.4,0.0,"","",-29.8,0.5,TRUE,CHIME,"Bhardwaj2021,Kirsten2021",
FRB20200430A,229.706451416,12.376329422,380.0,0.161,0.459,0.43,17.24,35.0,4.0,"","",FALSE,ASKAP,"Bhandari2021,Day2021",
FRB20200906A,53.495544434,-14.083008766,577.84,0.3688,0.51,-0.47,39.0,59.0,"","","",FALSE,ASKAP,"Bhandari2021,Day2021",
FRB20201123A,263.67,-50.76,433.55,0.0507,30.0,30.0,0.0,"","","","",FALSE,MeerKAT,Rajwade2022,""
FRB20201124A,77.01461542,26.06069556,411.0,0.0982,0.004,0.004,0.0,"","",-613.0,2.0,TRUE,MeerKAT,Kumar2021,""
FRB20210117A,339.979187012,-16.151445389,728.95,0.2145,0.418,0.417,73.05,36.0,"","","",FALSE,ASKAP,"Shannon2024,Gordon2023",
FRB20210320C,204.458770752,-16.12266922,384.593,0.2797,0.471,0.452,43.73,21.0,"","","",FALSE,ASKAP,"Shannon2024,Gordon2023",
FRB20210410D,326.08625,-79.318194,575.0,0.1415,0.8,0.5,90.0,"","","","",FALSE,MeerKAT,Caleb2023,""
FRB20210807D,299.221433,-0.762361,251.3,0.12927,0.5,0.5,0.0,113.0,9.0,"","",FALSE,ASKAP,"Shannon2024,Gordon2023",
FRB20210912A,350.793518066,-30.405580521,1235.0,"",0.438,0.433,66.16,90.0,15.0,"","",FALSE,ASKAP,Marnoch2023,""
FRB20211127I,199.808807373,-18.837911606,234.97,0.0469,0.51,0.51,65.1,31.0,1.0,"","",FALSE,ASKAP,"Shannon2024,Gordon2023",
FRB20211203C,204.5625,-31.38026619,635.0,0.34386,0.44,0.44,80.7,28.0,2.0,"","",FALSE,ASKAP,"Shannon2024,Gordon2023",
FRB20211212A,157.350784302,1.360430598,209.0,0.0707,0.5,0.46,45.58,36.0,"","","",FALSE,ASKAP,"Shannon2024,Gordon2023",
FRB20220105A,208.803359985,22.466228485,580.0,0.2785,1.513,0.823,-30.45,16.0,"","","",FALSE,ASKAP,"Shannon2024,Gordon2023",
FRB20220121B,"","",313.5,"","","",90.0,"","",-4.6,15.5,FALSE,DSA,Sherman23,""
FRB20220204A,274.22625,69.722503,612.2,0.4012,1.56,0.93,90.0,"","",-11.0,11.7,FALSE,DSA,"Sherman23,Sharma24",
FRB20220207C,310.199525,72.882327,262.3,0.0433,0.63,0.54,90.0,28.6,"",162.48,0.04,FALSE,DSA,"Law2023,Sherman23",
FRB20220208A,322.575125,70.041042,437.0,0.351,0.99,0.64,90.0,"","",-23.3,9.7,FALSE,DSA,"Sherman23,Sharma24",
FRB20220307B,350.874496,72.192386,499.15,0.2481,1.72,1.26,90.0,2.2,"",-947.2,12.3,FALSE,DSA,"Law2023,Sherman23",
FRB20220310F,134.7205,73.490833,462.15,0.478,1.9,1.4,90.0,23.9,"",11.4,0.2,FALSE,DSA,"Law2023,Sherman23",
FRB20220319D,32.1779208,71.03526,110.95,0.0112,0.58,0.55,90.0,9.6,"",59.0,14.3,FALSE,DSA,"Ravi2023,Law2023",
FRB20220330D,163.75125,70.35075,468.1,0.3714,1.62,0.97,90.0,"","",-122.2,4.5,FALSE,DSA,"Sherman23,Sharma24",
FRB20220418A,219.105575,70.095944,623.45,0.6213,1.356,0.761,90.0,4.1,"",6.1,7.5,FALSE,DSA,"Law2023,Sherman23",
FRB20220424E,"","",863.48,"","","",90.0,"","",126.9,13.4,FALSE,DSA,Sherman23,""
